ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone
0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books
0553584510,The Survivors Club,LISA GARDNER,2003,Bantam
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell
0316777730,Naked,David Sedaris,1998,Back Bay Books
0446601241,Kiss the Girls,James Patterson,1995,Warner Books
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage
0671027344,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,HarperCollins
0380789035,American Gods,Neil Gaiman,2002,HarperTorch
0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette
0380789019,Neverwhere,Neil Gaiman,1998,Avon
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon
067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket
000649840X,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk
0099771519,Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square
0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial
0439404371,The Thief Lord,Cornelia Funke,2002,Scholastic
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam
0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
0553258001,The Cider House Rules,John Irving,1986,Bantam Books
0553582658,Summer Light,Luanne Rice,2002,Bantam Books
0373218400,Table For Two,Nora Roberts,2002,Silhouette
0441003257,Good Omens,Neil Gaiman,1996,Ace Books
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA
0671038184,Jewel,Bret Lott,1999,Washington Square Press
0060916508,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990,Perennial
0552996009,Notes From a Small Planet,Bill Bryson,0,Bantam Doubleday Dell
0590660543,Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point
0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
038531258X,Cold Sassy Tree,Olive Ann Burns,1986,Delta
006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial
0743225406,The Shipping News : A Novel,Annie Proulx,2001,Scribner
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
0786885688,Shopgirl,Steve Martin,2001,Hyperion
0671880187,Kitchen,Banana Yoshimoto,1994,Washington Square Press
037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books
080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books
0385508417,Skipping Christmas,JOHN GRISHAM,2002,Doubleday
0385510438,The Last Juror,John Grisham,2004,Doubleday
0385324057,Summer Sisters,Judy Blume,1998,Delacorte Press
0425185710,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002,Berkley Publishing Group
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books
0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial
0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
0679772677,A Civil Action,JONATHAN HARR,1996,Vintage
0312983824,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks
0440224624,The Loop,Nicholas Evans,1999,Dell Publishing Company
0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press
0671036505,The Vineyard,Barbara Delinsky,2001,Pocket Books
0671004565,We'll Meet Again,Mary Higgins Clark,2000,Pocket
0345370805,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books
0375703055,Ellen Foster,Kaye Gibbons,1997,Vintage Books
0156006529,Where or When  : A Novel,Anita Shreve,1999,Harvest Books
0446673544,Sex &amp; the City,Candace Bushnell,1997,Warner Books
0312243022,The Hours : A Novel,Michael Cunningham,2000,Picador
0385490445,Alias Grace : A Novel,Margaret Atwood,1997,Anchor
0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill
0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
0380814021,The Princess Diaries,Meg Cabot,2001,HarperTrophy
0061098795,The Wailing Wind,Tony Hillerman,2003,HarperTorch
0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA
0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books
0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey
0670030643,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002,Viking Books
0440940001,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf
0671042262,The Blue Nowhere : A Novel,Jeffery Deaver,2002,Pocket
0425157539,Sudden Prey,John Sandford,1997,Berkley Publishing Group
0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA
0449912558,The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books
0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co
0894805770,What to Expect the First Year,Arlene Eisenberg,1989,Workman Publishing
0688177751,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000,Perennial
0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books
0375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA
0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
0399145087,Black Notice,Patricia Daniels Cornwell,1999,Putnam Pub Group
0312990456,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks
0316969680,The Beach House,James Patterson,2002,"Little, Brown"
0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade
0425177173,Atlantis Found,Clive Cussler,2001,Berkley Publishing Group
0440224764,The Partner,John Grisham,1998,Dell Publishing Company
0553572997,The Alienist,Caleb Carr,1995,Bantam Books
0380727501,Notes from a Small Island,Bill Bryson,1997,Perennial
0373218192,Engaging The Enemy,Nora Roberts,2003,Silhouette
0345416260,Pope Joan (Ballantine Reader's Circle),Donna Woolfolk Cross,1996,Ballantine Books
0385486804,Into the Wild,Jon Krakauer,1997,Anchor
0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,2003,Doubleday
0440236673,The Brethren,John Grisham,2000,Island
0440235162,The Smoke Jumper,Nicholas Evans,2002,Dell Publishing Company
0425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group
0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco
0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins
0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
0425161242,Chromosome 6,Robin Cook,2000,Berkley Publishing Group
0425169863,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group
0345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books
0446609323,Black Friday,James Patterson,1989,Warner Vision
0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
0805019375,L Is for Lawless (Kinsey Millhone Mysteries),Sue Grafton,1995,Henry Holt &amp; Company
0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor
0061000175,Skinwalkers (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA
0743457358,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Pocket
0425167313,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group
034540288X,The Lost World,Michael Crichton,1996,Ballantine Books
0425167720,An Instance of the Fingerpost,Iain Pears,1999,Berkley Publishing Group
0609610597,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown
0316182540,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown"
0553282476,CAT'S EYE,MARGARET ATWOOD,1989,Bantam
0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books
0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam
0316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown"
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam
0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
0671024248,Hearts In Atlantis,Stephen King,2000,Pocket
0671034022,Mercy,Julie Garwood,2002,Pocket
0451151259,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass
0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage
0446607711,The Simple Truth,David Baldacci,1999,Warner Books
0140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books
0451524934,1984,George Orwell,1990,Signet Book
0345392825,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks
0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
0316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books
038082101X,Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch
0671708635,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press
0425162788,Politika (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group
0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books
0345378482,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books
0671758896,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,Pocket
0345348109,The Killer Angels,Michael Shaara,1993,Ballantine Books
0451177096,Dolores Claiborne,Stephen King,2004,Signet Book
0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books
0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy
0425122123,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday
0060922532,Pigs in Heaven,Barbara Kingsolver,1994,Perennial
0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books
0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA
0553274503,Flowers for Algernon (Bantam Classic),DANIEL KEYES,1984,Bantam
0425133540,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group
0345384350,Icebound,Dean R. Koontz,1995,Ballantine Books
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
0684862719,Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon &amp; Schuster
0316602051,The Jester,James Patterson,2003,"Little, Brown"
0446604666,Sick Puppy,Carl Hiaasen,2001,Warner Vision
0061015725,Prey,Michael Crichton,2003,Avon Books
0553579754,Fear Nothing,DEAN KOONTZ,1998,Bantam
0449221482,J Is for Judgment,Sue Grafton,1999,Fawcett Books
0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam
0345353145,Sphere,MICHAEL CRICHTON,1988,Ballantine Books
0446516538,Slow Waltz in Cedar Bend,Robert James Waller,1993,Warner Books
0440214041,The Pelican Brief,John Grisham,1993,Dell
0679446486,Airframe,Michael Crichton,1996,Alfred A. Knopf
0140298479,Bridget Jones: The Edge of Reason,Helen Fielding,2001,Penguin Books
0786889020,Don't Stand Too Close to a Naked Man,Tim Allen,1995,Hyperion
0345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books
0345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
0449003787,"\O\"" Is for Outlaw""",SUE GRAFTON,2001,Ballantine Books
0385265700,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor
1573229326,How to Be Good,Nick Hornby,2002,Riverhead Books
0385424736,The Rainmaker,John Grisham,1995,Doubleday Books
0671617028,The Color Purple,Alice Walker,1985,Pocket Books
0446605239,The Notebook,Nicholas Sparks,1998,Warner Books
0553295977,Carnal Innocence,Nora Roberts,1992,Bantam Books
0743224574,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001,Simon &amp; Schuster
0671004549,You Belong To Me,Mary Higgins Clark,1999,Pocket Books
